pedidos,casos,id_general,estado,organismo_informante,nro_de_expediente_interno,forma_del_pedido,punto_de_ingreso,sector_al_que_se_dirige_la_solicitud,isodatetime_fecha_de_recepcion_de_la_solicitud_por_el_organismo,fecha_de_recepcion_de_la_solicitud_por_el_organismo,isodatetime_fecha_de_recepcion_de_la_solicitud_por_el_enlace,fecha_de_recepcion_de_la_solicitud_por_el_enlace,perfil_del_solicitante,sintesis_de_la_solicitud,rubro_de_solicitud_de_informacion,sector_al_que_derivo_el_enlace_dentro_del_organismo,plazo_en_el_que_se_contesto_la_solicitud,forma_de_aviso_de_uso_de_la_prorroga_al_solicitante,condicion_de_respuesta,isodatetime_fecha_de_la_respuesta,fecha_de_la_respuesta,cargo_del_funcionario_que_firma_la_entrega_de_la_informacion
2.0,2,JUS 02,Cerrado en plazo,Ministerio de Justicia y DDHH,EXP-S04:0000994/15,Nota,Mesa General de entradas,Oficina Anticorrupcion,2015-01-08T00:00:00-03:00,1/8/2015,2015-01-08T00:00:00-03:00,1/8/2015,Particular,Solicitud relacionada con la Declaraciones Patrimoniales de los periodos 2012/3,Información político - institucional,Oficina Anticorrupcion,En el plazo de 10 días,Por carta,Brindó la información,2015-01-21T00:00:00-03:00,21/01/2015,Oficina Anticorrupcion
3.0,3,JUS 03,Cerrado en plazo,Ministerio de Justicia y DDHH,EXP-S04:8629,Nota,Mesa General de entradas,Unidad de Informacion Financiera,2015-02-10T00:00:00-03:00,2/10/2015,2015-02-10T00:00:00-03:00,2/10/2015,Particular,Solicitud relacionada con la planta  de personal de la UIF,Políticas de Recursos Humanos,M. de Justicia y Derechos Humanos,En el plazo de 10 días,,Brindó la información,2015-02-25T00:00:00-03:00,25/02/2015,M. DE JUSTICIA Y DERECHOS HUMANOS
4.0,4,JUS 04,Cerrado fuera de plazo,Ministerio de Justicia y DDHH,EXP-S04:8556/2015,Nota,Mesa General de entradas,Ss. de Politica Criminal,2015-02-10T00:00:00-03:00,2/10/2015,2015-02-10T00:00:00-03:00,2/10/2015,Organización Social Comunitaria,Solicitud relacionada con la Oficia de Monitoreo de Publicaciones de Avisos de Oferta de Comercio Sexual,Actuaciones administrativas,Ss. de Politica Criminal,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-04-01T00:00:00-03:00,01/04/2015,Ss. de Politica Criminal
5.0,5,JUS 05,Cerrado en plazo,Ministerio de Justicia y DDHH,EXP-S04:9372/15,Nota,Mesa General de entradas,Sec. de Asuntos Registrales,2015-02-13T00:00:00-03:00,2/13/2015,2015-02-13T00:00:00-03:00,2/13/2015,Particular,"Solicitud relacionada con las Empresas ""ESUSO SA yTAISER SA"".=",Actuaciones administrativas,Inspección General de Justicia,En el plazo máximo de 20 días,Por carta,No se entregó por inexistencia de información (art 5),2015-03-13T00:00:00-03:00,13/03/2015,Ss. de Asuntos Registrales
6.0,6,JUS 06,Cerrado en plazo,Ministerio de Justicia y DDHH,EXP-S04:9946/2015,Nota,Mesa General de entradas,Oficina Anticorrupcion,2015-02-20T00:00:00-03:00,2/20/2015,2015-02-20T00:00:00-03:00,2/20/2015,Organización Social Comunitaria,Solicitud relacionada con la Declaracion Jurada Patrimonial del Dr.Roberto Carles,Actuaciones administrativas,Oficina Anticorrupcion,En el plazo de 10 días,Por carta,No se entregó por inexistencia de información (art 5),2015-02-27T00:00:00-03:00,27/02/2015,Sec. de Justicia
7.0,7,JUS 07,Cerrado fuera de plazo,Ministerio de Justicia y DDHH,EXP-15982/15,Nota,Mesa General de entradas,Sec. de Asuntos Registrales,2015-03-25T00:00:00-03:00,3/25/2015,2015-03-25T00:00:00-03:00,3/25/2015,Particular,"Solicitud relacionada con las Empresas: ""Patagonia Aventura SA"", ""Estancia Cristina SA"", ""Tremun SA"" y ""Hotel Waldorf SA"".=",Actuaciones administrativas,Sec. de Asuntos Registrales,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-04-30T00:00:00-03:00,30/04/2015,Sec. de Asuntos Registrales
8.0,8,JUS 08,Cerrado fuera de plazo,Ministerio de Justicia y DDHH,EXP-S04:0015982/15,Nota,Mesa General de entradas,Sec. de Asuntos Registrales,2015-03-25T00:00:00-03:00,3/25/2015,2015-03-25T00:00:00-03:00,3/25/2015,Particular,"Solicitud relacionada con la Empresa """"socorro Médico SA"".=",Actuaciones administrativas,Sec. de Asuntos Registrales,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-04-30T00:00:00-03:00,30/04/2015,Sec. de Asuntos Registrales
9.0,9,JUS 09,Cerrado en plazo,Ministerio de Justicia y DDHH,Expte-S04_0016159/15,Nota,Mesa General de entradas,M. de Justicia y Derechos Humanos,2015-03-26T00:00:00-03:00,3/26/2015,2015-03-26T00:00:00-03:00,3/26/2015,Senador/Diputado u otro cargo electo,Solicitud relacionada con propiedades de extranjeros y si hubo solicitudes de certificación de las mismas,Actuaciones administrativas,Sec. de Asuntos Registrales,En el plazo máximo de 20 días,Por carta,Brindó la información,2015-04-15T00:00:00-03:00,15/04/2015,Sec. de Asuntos Registrales
10.0,10,JUS 10,Cerrado en plazo,Ministerio de Justicia y DDHH,Expte-S04_0016165/15,Nota,Mesa General de entradas,M. de Justicia y Derechos Humanos,2015-03-26T00:00:00-03:00,3/26/2015,2015-03-26T00:00:00-03:00,3/26/2015,Senador/Diputado u otro cargo electo,Solicitud relacionada con listado actualizado a 2015 de municipos que superan el límite del 15% de titularidad o posesion extranjera de tierras rurales y nacionalidad de los mismos,Información político - institucional,Sec. de Asuntos Registrales,En el plazo máximo de 20 días,Por carta,Brindó la información,2015-04-15T00:00:00-03:00,15/04/2015,Sec. de Asuntos Registrales
11.0,11,JUS 11,Cerrado en plazo,Ministerio de Justicia y DDHH,Expte-S04:21865/15,Nota,Mesa General de entradas,M. de Justicia y Derechos Humanos,2015-04-24T00:00:00-03:00,4/24/2015,2015-04-24T00:00:00-03:00,4/24/2015,Particular,Solicitud relacionada con copias de declaraciones juradas de Larrañaga y Bellizzi,Actuaciones administrativas,Oficina Anticorrupcion,En el plazo de 10 días,Por carta,Brindó la información,2015-05-11T00:00:00-03:00,11/05/2015,Oficina Anticorrupcion
12.0,12,JUS 12,Cerrado en plazo,Ministerio de Justicia y DDHH,EXP-S04:0029786/2015,Nota,Mesa General de entradas,M. de Justicia y Derechos Humanos,2015-06-04T00:00:00-03:00,6/4/2015,2015-06-04T00:00:00-03:00,6/4/2015,Organización Social Comunitaria,"Solicitud relacionada datos estadisticos del fuero Criminal y Correccional Fed.incluyendo la competencia Electoral del Juzg.N°1, correspondientes a los años 2013 y 2014 (s/exptes), Pers.asignado en cada juzgado del fuero; Decretos de desiganc.de los jueces del fuero Criminal y Correccional Fed.entre otros temas ","Información Estadística, Informes, Estudios e Investigaciones Oficiales",Ss. de Relaciones Con el Poder Judicial,En el plazo de 10 días,Por carta,Brindó la información,2015-06-15T00:00:00-03:00,15/06/2015,Ss. de Relaciones con el Poder Judicial
13.0,13,JUS 13,Cerrado en plazo,Ministerio de Justicia y DDHH,EXP-S04:31435/2015,Nota,Mesa General de entradas,M. de Justicia y Derechos Humanos,2015-06-12T00:00:00-03:00,6/12/2015,2015-06-12T00:00:00-03:00,6/12/2015,Particular,Solicitud relacionada con la cant.total de ciudadnos oriundos de la pcia.de Mnes.no reconocidos como excombatientes de la Guerra de Malvinas.=,"Información Estadística, Informes, Estudios e Investigaciones Oficiales",M. de Justicia y Derechos Humanos,En el plazo máximo de 20 días,Por carta,Devuelta por no corresponder al organismo,2015-07-10T00:00:00-03:00,10/07/2015,M. DE JUSTICIA Y DERECHOS HUMANOS
14.0,14,JUS 14,Cerrado en plazo,Ministerio de Justicia y DDHH,EXP-S04:32723/2013,Nota,Mesa General de entradas,M. de Justicia y Derechos Humanos,2015-06-16T00:00:00-03:00,6/16/2015,2015-06-16T00:00:00-03:00,6/16/2015,Medios de comunicación,Solicitrud relacionada con el costo de l impresión de las bolectas electorales.=,Asignación de presupuesto,Sec. de Justicia,En el plazo de 10 días,Por carta,Brindó la información,2015-06-26T00:00:00-03:00,26/06/2015,Sec. de Justicia
15.0,15,JUS,Cerrado en plazo,Ministerio de Justicia y DDHH,EXP-S04:38293/2015,Nota,Mesa General de entradas,M. de Justicia y Derechos Humanos,2015-07-16T00:00:00-03:00,7/16/2015,2015-07-16T00:00:00-03:00,7/16/2015,Particular,Solicitud relacionada con la copia del Exp-s04:0001426/2015,Actuaciones administrativas,Ss. de Coordinacion,En el plazo máximo de 20 días,Por carta,Brindó la información,2015-08-18T00:00:00-03:00,18/08/2015,Ss. de Coordinacion
16.0,16,JUS,Cerrado en plazo,Ministerio de Justicia y DDHH,EXP-S04:00057619,Nota,Mesa General de entradas,M. de Justicia y Derechos Humanos,2015-10-19T00:00:00-03:00,10/19/2015,2015-10-19T00:00:00-03:00,10/19/2015,Particular,Solcitud recionada con las Misiones y Funciones del Ministerio y perfiles sobre la Plantilla del  personal de esta Cartera de Estado.-,Actuaciones administrativas,Ss. de Coordinacion,En el plazo de 10 días,Por carta,Brindó la información,2015-10-30T00:00:00-03:00,30/10/2015,Ss. de Coordinacion
17.0,17,JUS,Cerrado fuera de plazo,Ministerio de Justicia y DDHH,EXP-S04:51877/15,Nota,Mesa General de entradas,M. de Justicia y Derechos Humanos,2015-09-21T00:00:00-03:00,9/21/2015,2015-09-21T00:00:00-03:00,9/21/2015,Particular,Solicitud relacionada con los items componentes del Pers.Profesional con antigüedad de 30 años. Equivalente a una categoria de Jefe de Depto.=,Actuaciones administrativas,Ss. de Coordinacion,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-11-11T00:00:00-03:00,11/11/2015,Ss. de Coordinacion
18.0,18,JUS,Cerrado en plazo,Ministerio de Justicia y DDHH,EXP-S04.:54838/|5,Nota,Mesa General de entradas,Ss. de Coordinacion,2015-10-05T00:00:00-03:00,10/5/2015,2015-10-05T00:00:00-03:00,10/5/2015,Senador/Diputado u otro cargo electo,"Solicitud relacionada con el Instituto Nacional de derechos Humanos ""Madres de plaza de Mayo""",Actuaciones administrativas,Ss. de Coordinacion,En el plazo máximo de 20 días,Por carta,Brindó la información,2015-11-02T00:00:00-03:00,02/11/2015,Ss. de Coordinacion
19.0,19,JUS,Cerrado fuera de plazo,Ministerio de Justicia y DDHH,EXP-S04:55469/15,Nota,Mesa General de entradas,Ss. de Coordinacion,2015-10-05T00:00:00-03:00,10/5/2015,2016-10-07T00:00:00-03:00,10/7/2016,ONG,"Solicitud relacionada  con el Presupuesto asignado y ejecutado en los años 2013 al 2015, en el Programa ""Victimas c/las Violencias, Oficina de rescate y Acompañamiento a las Pers.Damnificadas por el Delito de Trata y en la CONSAVIG.-",Actuaciones administrativas,Ss. de Coordinacion,"Se contestó, pero luego de los 20 días",Por carta,Brindó la información,2015-11-18T00:00:00-03:00,18/11/2015,Ss. de Coordinacion
20.0,20,JUS,Cerrado en plazo,Ministerio de Justicia y DDHH,EXP-S04:56566/2015,Nota,Mesa General de entradas,Ss. de Coordinacion,2015-10-14T00:00:00-03:00,10/14/2015,2015-10-14T00:00:00-03:00,10/14/2015,Senador/Diputado u otro cargo electo,"Solicitud relacionada con la Reos.MJyDH N°2149/15 ""llamdo a concurso mediante convocatoria extraordinaria p/cobertura de Cargos Vacantes de la Pta.Perm.del Ministerio.-",Actuaciones administrativas,Ss. de Coordinacion,En el plazo máximo de 20 días,Por carta,Brindó la información,2015-11-11T00:00:00-03:00,11/11/2015,Ss. de Coordinacion
